Campaign,Browser,Device Type,Operating System,Supply Vendor,User Hour Of Week,Partner Cost (USD),01 - Total Click + View Conversions
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,18,1.024542232,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,21,1.048332227,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,22,1.340520288,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,23,1.554833453,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,24,1.153314904,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,44,1.063013054,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,45,1.220333383,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,46,1.196741782,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,47,1.195664477,1
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,60,1.009428982,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,69,1.017595096,2
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,70,1.229904022,21
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,71,1.239848658,19
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,84,1.072256314,16
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,91,1.136342296,11
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,92,1.127364307,2
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,93,1.312032911,30
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,94,1.442674363,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,95,1.439809676,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,108,1.283223284,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,115,1.062097486,6
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,116,1.026286838,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,117,1.023010954,2
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,118,1.22917551,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,119,1.226142112,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,141,1.100297497,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,142,1.243707089,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,143,1.102940822,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,153,1.097427889,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,156,1.024236471,22
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,165,1.092709189,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,166,1.278391361,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Android80,google,167,1.293003298,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,0,2.186271836,19
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,1,1.431611501,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,8,1.317187047,40
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,9,1.726171716,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,10,2.003172351,18
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,11,1.875784081,9
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,12,1.8112272,14
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,13,1.617584166,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,14,1.539324855,10
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,15,1.60933967,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,16,1.611583721,15
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,17,1.801107529,14
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,18,1.749737162,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,19,1.939107335,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,20,1.728002187,27
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,21,2.076591781,16
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,22,2.665197272,31
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,23,3.351128332,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,24,2.324161231,16
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,25,1.806627046,12
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,26,1.084819064,2
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,33,1.316483413,8
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,34,1.343882071,7
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,35,1.478388732,5
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,36,1.501147033,4
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,37,1.452860666,3
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,38,1.383097945,13
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,39,1.228372893,2
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,40,1.233785707,1
XHK19-0395_Triumph Taiwan Q4 2019 Campaign on Xaxis Audience_01119153,Chrome,Mobile,Other,google,41,1.341199969,3
