ID,Name
1,google
4,openx
5,rubicon
6,brightrollexchangedisplay
7,appnexus
8,indexexchange
11,onevideo
12,pubmatic
13,spotx
17,smartclip
19,sovrn
21,ströer
23,onedisplay
24,colossus
25,adconductor
28,falktech
36,smaato
38,yieldlab
41,onemobile
42,zedo
44,gumgum
45,telaria
46,synacor
47,sonobi
52,mopub
57,yieldone
59,smartstream
70,triplelift
71,sharethrough
73,smartadserver
79,kargo
81,adcolony
83,bidswitch
90,unruly
91,teadstv
92,inmobiexchange
94,yieldmo
99,fyber
100,dailymotion
101,triton
103,adyoulike
105,permodo
106,beachfront
112,nativo
113,lkqd
119,outbrain
120,sabio
122,quantum
123,ucfunnel
124,emxplatform
126,trustx
127,rtkio
128,loopme
130,adgeneration
134,freewheel
136,ironsource
137,admanmedia
144,yoc
147,amazon
151,ucfunnelchina
